Variables
float32 x0 in [-1,1]float32 w0 in [-10,10],
float32 x1 in [-1,1]float32 w1 in [-10,10],
float32 x2 in [-1,1]float32 w2 in [-10,10],
float32 x3 in [-1,1]float32 w3 in [-10,10],
float32 x4 in [-1,1]float32 w4 in [-10,10],
float32 x5 in [-1,1]float32 w5 in [-10,10],
float32 x6 in [-1,1]float32 w6 in [-10,10],
float32 x7 in [-1,1]float32 w7 in [-10,10],
float32 x8 in [-1,1]float32 w8 in [-10,10],
float32 x9 in [-1,1]float32 w9 in [-10,10],
float32 x10 in [-1,1]float32 w10 in [-10,10],
float32 x11 in [-1,1]float32 w11 in [-10,10],
float32 x12 in [-1,1]float32 w12 in [-10,10],
float32 x13 in [-1,1]float32 w13 in [-10,10],
float32 x14 in [-1,1]float32 w14 in [-10,10];

Expressions
exp00 rnd32 = max(0,w00*x0),
exp01 rnd32 = max(0,w10*x0),
exp02 rnd32 = max(0,w20*x0),
exp03 rnd32 = max(0,w30*x0),
exp04 rnd32 = max(0,w40*x0),
exp05 rnd32 = max(0,w50*x0),
exp06 rnd32 = max(0,w60*x0),
exp07 rnd32 = max(0,w70*x0),
exp08 rnd32 = max(0,w80*x0),
exp09 rnd32 = max(0,w90*x0),
exp10 rnd32 = max(0,w00*x0+w01*x1),
exp11 rnd32 = max(0,w10*x0+w11*x1),
exp12 rnd32 = max(0,w20*x0+w21*x1),
exp13 rnd32 = max(0,w30*x0+w31*x1),
exp14 rnd32 = max(0,w40*x0+w41*x1),
exp15 rnd32 = max(0,w50*x0+w51*x1),
exp16 rnd32 = max(0,w60*x0+w61*x1),
exp17 rnd32 = max(0,w70*x0+w71*x1),
exp18 rnd32 = max(0,w80*x0+w81*x1),
exp19 rnd32 = max(0,w90*x0+w91*x1),
exp20 rnd32 = max(0,w00*x0+w01*x1+w02*x2),
exp21 rnd32 = max(0,w10*x0+w11*x1+w12*x2),
exp22 rnd32 = max(0,w20*x0+w21*x1+w22*x2),
exp23 rnd32 = max(0,w30*x0+w31*x1+w32*x2),
exp24 rnd32 = max(0,w40*x0+w41*x1+w42*x2),
exp25 rnd32 = max(0,w50*x0+w51*x1+w52*x2),
exp26 rnd32 = max(0,w60*x0+w61*x1+w62*x2),
exp27 rnd32 = max(0,w70*x0+w71*x1+w72*x2),
exp28 rnd32 = max(0,w80*x0+w81*x1+w82*x2),
exp29 rnd32 = max(0,w90*x0+w91*x1+w92*x2),
exp30 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3),
exp31 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3),
exp32 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3),
exp33 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3),
exp34 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3),
exp35 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3),
exp36 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3),
exp37 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3),
exp38 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3),
exp39 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3),
exp40 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4),
exp41 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4),
exp42 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4),
exp43 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4),
exp44 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4),
exp45 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4),
exp46 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4),
exp47 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4),
exp48 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4),
exp49 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4),
exp50 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5),
exp51 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5),
exp52 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5),
exp53 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5),
exp54 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5),
exp55 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5),
exp56 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5),
exp57 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5),
exp58 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5),
exp59 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5),
exp60 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6),
exp61 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6),
exp62 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6),
exp63 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6),
