Variables
float32 x0 in [-1,1],
float32 x1 in [-1,1],
float32 x2 in [-1,1],
float32 x3 in [-1,1],
float32 x4 in [-1,1],
float32 x5 in [-1,1],
float32 x6 in [-1,1],
float32 x7 in [-1,1],
float32 x8 in [-1,1],
float32 x9 in [-1,1],
float32 x10 in [-1,1],
float32 x11 in [-1,1],
float32 x12 in [-1,1],
float32 x13 in [-1,1],
float32 x14 in [-1,1];

Constants
w00 = 3.2786587835496874,
w01 = -5.108909656855878,
w02 = -7.15326518076465,
w03 = 3.0070959230911463,
w04 = 7.888828554965162,
w05 = 2.444456930852777,
w06 = -6.992281796773588,
w07 = 4.960614212850139,
w08 = -2.116466257189269,
w09 = -1.7574421863002616,
w010 = -3.9710969259531943,
w011 = 3.287612469208005,
w012 = 3.5914248076329045,
w013 = 6.224854984789886,
w014 = 1.948139302611569,
w10 = 5.202995492808334,
w11 = 2.018482488936675,
w12 = 9.870412323157122,
w13 = -0.9403475359597202,
w14 = -4.092796869674078,
w15 = 7.030321460397104,
w16 = 3.2372554678649443,
w17 = 1.475543986722812,
w18 = -6.773800397518118,
w19 = 9.446772527752351,
w110 = 9.815241938624034,
w111 = 4.396554478638263,
w112 = 9.516091283629468,
w113 = -2.2878563290292053,
w114 = 9.162228197215263,
w20 = -7.750574136332931,
w21 = -5.11606687089198,
w22 = -4.930743180667834,
w23 = 0.28026224381911113,
w24 = 3.2411910423524777,
w25 = -4.217370851439252,
w26 = 6.950044941671951,
w27 = 4.753439280777073,
w28 = 9.352952427821126,
w29 = 4.996132535149345,
w210 = -0.4012428799123775,
w211 = 7.044027215693173,
w212 = 6.0814093108241885,
w213 = 1.1804398520081953,
w214 = -3.3157170250093877,
w30 = -7.232614045124272,
w31 = 5.597670931312015,
w32 = -6.486706425775452,
w33 = 7.162316503606895,
w34 = -1.1713187380095125,
w35 = -2.5693991332862565,
w36 = -8.064713556238399,
w37 = 8.463570824758246,
w38 = 7.679201012214563,
w39 = 9.365595660254161,
w310 = 1.013423885258904,
w311 = 6.65943738290656,
w312 = 3.56536980007961,
w313 = 0.9215826267849572,
w314 = -1.275594375320976,
w40 = -2.497964579371816,
w41 = 2.047479963731533,
w42 = 8.368284538307165,
w43 = -8.237576955492838,
w44 = 8.032717792173099,
w45 = 8.586140402815804,
w46 = 7.355033588975214,
w47 = -6.279276047946711,
w48 = -1.1850850527582644,
w49 = 9.483857689754174,
w410 = -4.625913536873658,
w411 = -8.03152287324961,
w412 = -1.9757319890580618,
w413 = -8.679211045700583,
w414 = -2.28580805219109,
w50 = -8.447346673486521,
w51 = -6.425416574578524,
w52 = 1.5904467177387343,
w53 = -7.431945882601651,
w54 = -1.740160939062907,
w55 = 9.124850703033264,
w56 = -5.208121947965168,
w57 = 9.640725586399618,
w58 = -6.419796733268679,
w59 = -7.3281258350122025,
w510 = 8.008068072867086,
w511 = 4.9399781800326785,
w512 = -0.6486526761886076,
w513 = -6.895484370490266,
w514 = -6.242975297650444,
w60 = -7.168564548102479,
w61 = 4.7191727234106455,
w62 = 5.704673291420688,
w63 = -4.78798658618631,
w64 = -7.576332154514603,
w65 = 4.291698625264406,
w66 = -7.840797895469036,
w67 = 4.914041968657482,
w68 = 2.1116960829843183,
w69 = 0.8858122139735158,
w610 = 2.2770479139214217,
w611 = 2.7504639559191446,
w612 = -2.827915471084548,
w613 = 0.3043746076298923,
w614 = -7.783304410985858,
w70 = -9.777929069613862,
w71 = 7.398333562349318,
w72 = -8.668688051648374,
w73 = -9.264646089622273,
w74 = -0.7458478587445789,
w75 = 5.346100874127696,
w76 = 8.94704953883453,
w77 = 7.900737433243627,
w78 = 9.505633858576985,
w79 = -6.964607700176311,
w710 = -0.7134722751657137,
w711 = -4.089276335292819,
w712 = -5.617825954721763,
w713 = 1.2794612796086486,
w714 = -7.422014443316272,
w80 = 5.282443784255484,
w81 = -5.9680646823625905,
w82 = -3.2628314804853042,
w83 = 6.862578451977477,
w84 = -4.271179651599253,
w85 = -0.03364617576892037,
w86 = -0.2160836053614883,
w87 = -0.21244102887228067,
w88 = -4.231443229135232,
w89 = -8.224595560980033,
w810 = 3.3761838912662263,
w811 = 0.2734244374903998,
w812 = 3.8689612269640534,
w813 = -0.9184830662827554,
w814 = -3.6631679843174965,
w90 = 8.583772486061633,
w91 = 7.699464593601061,
w92 = 4.269865610981011,
w93 = 3.7180837334599346,
w94 = 2.1722290442278673,
w95 = 2.6024052721259956,
w96 = 0.21136186267120927,
w97 = 1.6656077172929997,
w98 = 3.524575932571077,
w99 = 5.187007951292291,
w910 = 1.617126067032137,
w911 = -3.480944084375599,
w912 = -9.583300152322582,
w913 = 1.699798613283214,
w914 = -0.2788056087590025;

Expressions
exp00 rnd32 = max(0,w00*x0),
exp01 rnd32 = max(0,w10*x0),
exp02 rnd32 = max(0,w20*x0),
exp03 rnd32 = max(0,w30*x0),
exp04 rnd32 = max(0,w40*x0),
exp05 rnd32 = max(0,w50*x0),
exp06 rnd32 = max(0,w60*x0),
exp07 rnd32 = max(0,w70*x0),
exp08 rnd32 = max(0,w80*x0),
exp09 rnd32 = max(0,w90*x0),
exp10 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4),
exp11 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4),
exp12 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4),
exp13 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4),
exp14 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4),
exp15 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4),
exp16 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4),
exp17 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4),
exp18 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4),
exp19 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4),
exp20 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7+w08*x8+w09*x9),
exp21 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7+w18*x8+w19*x9),
exp22 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7+w28*x8+w29*x9),
exp23 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7+w38*x8+w39*x9),
exp24 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7+w48*x8+w49*x9),
exp25 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7+w58*x8+w59*x9),
exp26 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7+w68*x8+w69*x9),
exp27 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7+w78*x8+w79*x9),
exp28 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7+w88*x8+w89*x9),
exp29 rnd32 = max(0,w90*x0+w91*x1+w92*x2+w93*x3+w94*x4+w95*x5+w96*x6+w97*x7+w98*x8+w99*x9),
exp30 rnd32 = max(0,w00*x0+w01*x1+w02*x2+w03*x3+w04*x4+w05*x5+w06*x6+w07*x7+w08*x8+w09*x9+w010*x10+w011*x11+w012*x12+w013*x13+w014*x14),
exp31 rnd32 = max(0,w10*x0+w11*x1+w12*x2+w13*x3+w14*x4+w15*x5+w16*x6+w17*x7+w18*x8+w19*x9+w110*x10+w111*x11+w112*x12+w113*x13+w114*x14),
exp32 rnd32 = max(0,w20*x0+w21*x1+w22*x2+w23*x3+w24*x4+w25*x5+w26*x6+w27*x7+w28*x8+w29*x9+w210*x10+w211*x11+w212*x12+w213*x13+w214*x14),
exp33 rnd32 = max(0,w30*x0+w31*x1+w32*x2+w33*x3+w34*x4+w35*x5+w36*x6+w37*x7+w38*x8+w39*x9+w310*x10+w311*x11+w312*x12+w313*x13+w314*x14),
exp34 rnd32 = max(0,w40*x0+w41*x1+w42*x2+w43*x3+w44*x4+w45*x5+w46*x6+w47*x7+w48*x8+w49*x9+w410*x10+w411*x11+w412*x12+w413*x13+w414*x14),
exp35 rnd32 = max(0,w50*x0+w51*x1+w52*x2+w53*x3+w54*x4+w55*x5+w56*x6+w57*x7+w58*x8+w59*x9+w510*x10+w511*x11+w512*x12+w513*x13+w514*x14),
exp36 rnd32 = max(0,w60*x0+w61*x1+w62*x2+w63*x3+w64*x4+w65*x5+w66*x6+w67*x7+w68*x8+w69*x9+w610*x10+w611*x11+w612*x12+w613*x13+w614*x14),
exp37 rnd32 = max(0,w70*x0+w71*x1+w72*x2+w73*x3+w74*x4+w75*x5+w76*x6+w77*x7+w78*x8+w79*x9+w710*x10+w711*x11+w712*x12+w713*x13+w714*x14),
exp38 rnd32 = max(0,w80*x0+w81*x1+w82*x2+w83*x3+w84*x4+w85*x5+w86*x6+w87*x7+w88*x8+w89*x9+w810*x10+w811*x11+w812*x12+w813*x13+w814*x14),
